,SalePrice
327,174000
328,140000
329,244600
330,129000
331,144000
332,147000
333,150000
334,290000
335,143000
336,127500
337,108000
338,130500
339,148500
340,97000
341,180000
342,140000
343,340000
344,159500
345,160000
346,117000
347,227000
348,301500
349,140000
350,145000
351,185000
352,135000
353,97000
354,160000
355,160000
356,320000
357,120000
358,178000
359,140000
360,155000
361,139000
362,80000
363,141000
364,125000
365,140000
366,325000
367,154000
368,290000
369,244000
370,180500
371,239000
372,165000
373,175000
374,135750
375,202500
376,60000
377,145000
378,230000
379,110000
380,207500
381,215000
382,148500
383,105000
384,140000
385,312500
386,117000
387,130500
388,189000
389,179900
390,192000
391,102000
392,103600
393,142000
394,85000
395,126000
396,87000
397,272000
398,145000
399,204900
400,325000
401,112000
402,140000
403,176000
404,110000
405,320000
406,140000
407,140000
408,163000
409,199900
410,185000
411,271000
412,219500
413,186500
414,230000
415,197500
416,98000
417,90000
418,190000
419,165000
420,154000
421,215000
422,163000
423,148000
424,275000
425,270000
426,134500
427,377426
428,235000
429,325000
430,82500
431,140000
432,127000
433,224900
434,106250
435,325000
436,108000
437,112000
438,120000
439,140000
440,186500
441,175000
442,167500
443,181000
444,141000
445,290000
446,118500
447,350000
448,167000
449,140000
450,154000
451,103600
452,377426
453,140000
454,207500
455,120000
456,175000
457,235000
458,140000
459,168000
460,283463
461,180000
462,117500
463,135000
464,214000
465,87000
466,134900
467,174000
468,325000
469,150000
470,165000
471,100000
472,82000
473,139000
474,164000
475,176485
476,275000
477,167000
478,175000
479,129000
480,270000
481,60000
482,93500
483,325300
484,123000
485,183200
486,129000
487,144000
488,333168
489,89500
490,325000
491,189000
492,168000
493,140000
494,253000
495,100000
496,124000
497,325000
498,315000
499,340000
500,128000
501,154000
502,485000
503,235000
504,348000
505,178000
506,168000
507,207500
508,260000
509,115000
510,250000
511,107500
512,81000
513,236500
514,105000
515,110000
516,174000
517,165000
518,115000
519,89500
520,320000
521,377426
522,181000
523,118000
524,167900
525,160000
526,128950
527,151000
528,215000
529,195000
530,167240
531,140000
532,318000
533,159000
534,89000
535,215000
536,139000
537,260000
538,112000
539,183200
540,204750
541,130000
542,147000
543,82000
544,176000
545,185000
546,129500
547,190000
548,120000
549,85400
550,118500
551,159000
552,162900
553,235000
554,148000
555,325624
556,110000
557,196000
558,176000
559,166000
560,112000
561,345000
562,162000
563,190000
564,123000
565,144000
566,402861
567,110000
568,210000
569,130000
570,148000
571,127500
572,122000
573,105000
574,142600
575,169000
576,179900
577,138500
578,192000
579,146000
580,263000
581,130000
582,112500
583,67000
584,133000
585,190000
586,177500
587,262500
588,129900
589,280000
590,78000
591,166000
592,237000
593,167500
594,110000
595,230000
596,175000
597,178000
598,270000
599,143000
600,100000
601,235000
602,219500
603,249700
604,214000
605,315750
606,270000
607,148000
608,172500
609,236000
610,108000
611,107500
612,192500
613,105000
614,133000
615,205000
616,80000
617,176000
618,145000
619,145000
620,115000
621,207500
622,120000
623,148000
624,176000
625,320000
626,178900
627,134500
628,154000
629,147000
630,128000
631,192000
632,154000
633,112000
634,320000
635,122000
636,176000
637,162900
638,122000
639,235000
640,250000
641,91500
642,266000
643,156000
644,290000
645,214000
646,154000
647,100000
648,140000
649,126000
650,107500
651,235000
652,275000
653,129000
654,107500
655,152000
656,113000
657,140000
658,176000
659,143000
660,117000
661,107000
662,155000
663,119000
664,240000
665,320000
666,98000
667,168000
668,200000
669,142000
670,170000
671,140000
672,270000
673,270000
674,134000
675,110500
676,82000
677,115000
678,194700
679,148500
680,275000
681,174000
682,82000
683,272000
684,145000
685,185000
686,235000
687,160000
688,227875
689,81000
690,176485
691,154000
692,112000
693,67000
694,385000
695,160000
696,110000
697,173000
698,207500
699,160000
700,145000
701,148500
702,228500
703,112000
704,91000
705,155000
706,122000
707,148500
708,180000
709,207500
710,117000
711,85400
712,156932
713,244600
714,126000
715,105000
716,174000
717,196000
718,228500
719,220000
720,266000
721,107500
722,275000
723,190000
724,140000
725,176000
726,118964
727,203000
728,157500
729,155000
730,325000
731,270000
732,80000
733,174000
734,185000
735,168000
736,115000
737,107000
738,115000
739,140000
740,214000
741,87000
742,235000
743,226000
744,157500
745,199900
746,133500
747,110000
748,277500
749,124000
750,110000
751,143000
752,190000
753,98000
754,339750
755,107500
756,231500
757,82000
758,301000
759,280000
760,145000
761,140000
762,235000
763,240000
764,129000
765,315750
766,235000
767,275000
768,275000
769,277500
770,174000
771,87000
772,230000
773,381000
774,172785
775,133000
776,166000
777,185000
778,132500
779,272000
780,187500
781,178000
782,167500
783,156000
784,148500
785,107000
786,154000
787,178900
788,185000
789,100000
790,235000
791,100000
792,206300
793,174000
794,196000
795,210000
796,192000
797,207500
798,485000
799,190000
800,154000
801,90000
802,236500
803,196000
804,275000
805,131500
806,180500
807,230000
808,235000
809,154000
810,118500
811,119000
812,214000
813,140000
814,196500
815,133000
816,159000
817,107500
818,144152
819,113000
820,239000
821,162900
822,110000
823,219500
824,250000
825,315000
826,301000
827,147000
828,141000
829,250580
830,440000
831,225000
832,148000
833,325000
834,119000
835,142600
836,147000
837,151000
838,117000
839,145000
840,149700
841,125000
842,410000
843,103600
844,122500
845,81000
846,277500
847,164000
848,164000
849,176500
850,215000
851,85400
852,140000
853,160000
854,79000
855,180000
856,214000
857,110000
858,190000
859,143000
860,214000
861,93500
862,160000
863,154000
864,112000
865,190000
866,211000
867,83000
868,155000
869,140000
870,140000
871,107500
872,270000
873,154300
874,200500
875,230000
876,381000
877,126000
878,122000
879,170000
880,158000
881,197500
882,139000
883,88000
884,118500
885,113000
886,145000
887,200000
888,148500
889,233170
890,174000
891,147000
892,125500
893,340000
894,120000
895,215000
896,214000
897,148000
898,109500
899,145000
900,147000
901,115000
902,200000
903,263435
904,271000
905,160000
906,160000
907,145000
908,140000
909,214000
910,155000
911,85400
912,155835
913,266000
914,180000
915,167900
916,160000
917,120000
918,207000
919,154000
920,162000
921,145000
922,120000
923,185000
924,176000
925,158000
926,260000
927,162000
928,179200
929,107000
930,127500
931,124500
932,167500
933,117000
934,115000
935,122000
936,145000
937,200000
938,155000
939,87000
940,190000
941,147000
942,140000
943,122000
944,210000
945,140000
946,145000
947,131500
948,82000
949,235000
950,107500
951,129500
952,133000
953,213500
954,147000
955,168000
956,115000
957,122000
958,177500
959,180500
960,180500
961,141000
962,314813
963,107500
964,156000
965,157000
966,195000
967,426000
968,110000
969,144000
970,194700
971,89500
972,139000
973,168000
974,152000
975,132000
976,155000
977,136500
978,155000
979,110000
980,275000
981,440000
982,219500
983,110000
984,270000
985,214000
986,240000
987,181000
988,172500
989,105900
990,140000
991,195000
992,282922
993,245350
994,239000
995,176432
996,118000
997,118000
998,67000
999,129500
1000,165000
1001,108000
1002,140000
1003,81000
1004,320000
1005,100000
1006,205000
1007,350000
1008,262500
1009,90000
1010,135000
1011,227875
1012,115000
1013,140000
1014,225000
1015,148000
1016,185000
1017,178000
1018,230000
1019,485000
1020,190000
1021,359100
1022,162000
1023,183500
1024,176485
1025,168000
1026,325300
1027,110000
1028,129000
1029,115000
1030,105000
1031,147000
1032,250000
1033,140000
1034,187000
1035,82000
1036,158000
1037,177500
1038,147000
1039,148500
1040,187000
1041,105900
1042,89500
1043,219500
1044,124500
1045,172400
1046,107500
1047,148000
1048,178000
1049,154000
1050,167900
1051,60000
1052,272000
1053,426000
1054,154000
1055,117500
1056,110000
1057,160000
1058,115000
1059,85000
1060,271000
1061,203000
1062,210000
1063,141000
1064,230000
1065,96500
1066,187500
1067,109008
1068,117000
1069,297000
1070,180000
1071,176000
1072,275000
1073,110000
1074,335000
1075,151000
1076,143000
1077,140000
1078,154000
1079,99500
1080,205000
1081,194500
1082,115000
1083,248900
1084,270000
1085,154300
1086,312500
1087,200000
1088,180000
1089,158000
1090,280000
1091,82000
1092,229456
1093,148000
1094,142000
1095,81000
1096,163000
1097,138500
1098,187500
1099,127500
1100,175900
1101,140000
1102,215000
1103,210000
1104,119000
1105,81000
1106,275000
1107,272000
1108,177500
1109,385000
1110,109900
1111,100000
1112,236500
1113,154000
1114,222500
1115,140000
1116,135000
1117,107500
1118,235000
1119,141000
1120,189000
1121,145250
1122,262500
1123,275000
1124,140000
1125,179900
1126,192000
1127,156000
1128,157000
1129,90000
1130,67000
1131,187000
1132,145000
1133,100000
1134,315000
1135,82000
1136,130000
1137,147000
1138,266000
1139,110000
1140,155000
1141,140000
1142,124500
1143,207500
1144,156932
1145,318000
1146,197500
1147,185000
1148,215000
1149,151000
1150,283463
1151,190000
1152,262500
1153,142000
1154,156000
1155,117000
1156,138000
1157,82000
1158,110000
1159,320000
1160,325000
1161,181000
1162,89500
1163,110000
1164,120000
1165,224900
1166,235000
1167,106250
1168,112000
1169,107500
1170,140000
1171,140000
1172,213000
1173,149000
1174,160000
1175,185000
1176,148000
1177,280000
1178,125000
1179,139000
1180,168000
1181,395000
1182,184100
1183,122000
1184,325000
1185,109500
1186,206000
1187,115000
1188,185000
1189,320000
1190,144000
1191,113000
1192,134500
1193,118964
1194,140000
1195,138500
1196,139000
1197,127000
1198,262500
1199,110000
1200,110000
1201,130500
1202,112000
1203,167240
1204,107500
1205,192000
1206,100000
1207,215000
1208,139000
1209,239000
1210,214000
1211,152000
1212,143000
1213,239686
1214,140000
1215,97000
1216,122000
1217,118500
1218,122000
1219,119000
1220,168000
1221,195000
1222,235000
1223,320000
1224,210000
1225,140000
1226,162000
1227,160000
1228,184900
1229,226000
1230,109008
1231,81000
1232,176000
1233,199900
1234,341000
1235,100000
1236,215000
1237,160000
1238,325000
1239,140000
1240,105000
1241,115000
1242,145000
1243,146000
1244,178900
1245,118500
1246,236500
1247,280000
1248,130000
1249,76000
1250,318000
1251,135000
1252,176000
1253,100000
1254,113000
1255,189000
1256,160000
1257,148000
1258,159000
1259,119500
1260,180000
1261,87000
1262,120000
1263,127500
1264,213000
1265,140000
1266,325000
1267,150000
1268,154000
1269,127500
1270,115000
1271,129900
1272,129000
1273,244600
1274,228500
1275,163990
1276,127500
1277,200000
1278,135000
1279,138500
1280,173000
1281,250000
1282,214000
1283,160000
1284,76000
1285,170000
1286,325000
1287,110000
1288,117000
1289,120500
1290,162000
1291,239000
1292,187500
1293,275000
1294,138500
1295,118500
1296,146000
1297,177500
1298,124000
1299,181000
1300,192000
1301,167900
1302,176000
1303,135000
1304,195000
1305,270000
1306,176000
1307,185000
1308,320000
1309,200500
1310,179900
1311,146000
1312,256000
1313,82000
1314,78000
1315,115000
1316,145000
1317,155000
1318,176000
1319,81000
1320,128000
1321,219500
1322,160000
1323,118500
1324,184900
1325,180000
1326,170000
1327,239000
1328,174000
1329,235000
1330,266000
1331,167000
1332,117000
1333,185000
1334,115000
1335,176000
1336,112000
1337,200000
1338,124000
1339,187000
1340,160000
1341,108000
1342,140000
1343,275000
1344,207500
1345,154000
1346,140000
1347,160000
1348,140000
1349,180500
1350,140000
1351,180000
1352,154000
1353,85400
1354,90000
1355,270000
1356,275000
1357,230000
1358,140000
1359,170000
1360,129500
1361,280000
1362,107500
1363,240000
1364,341000
1365,157000
1366,377426
1367,138500
1368,100000
1369,235000
1370,108000
1371,110000
1372,85000
1373,160000
1374,148000
1375,315000
1376,190000
1377,171750
1378,146000
1379,213500
1380,227000
1381,150000
1382,140000
1383,235000
1384,107500
1385,110000
1386,183900
1387,147000
1388,108959
1389,167000
1390,138500
1391,348000
1392,260000
1393,90000
1394,109000
1395,266000
1396,144000
1397,129500
1398,82500
1399,140000
1400,283463
1401,227000
1402,84500
1403,97000
1404,145000
1405,174000
1406,158000
1407,93500
1408,192000
1409,200000
1410,130000
1411,176000
1412,140000
1413,140000
1414,325000
1415,153900
1416,144000
1417,185000
1418,129500
1419,268000
1420,122000
1421,280000
1422,140000
1423,141000
1424,60000
1425,211000
1426,129000
1427,239000
1428,133000
1429,143000
1430,148000
1431,148000
1432,112000
1433,160000
1434,151000
1435,157000
1436,35311
1437,275000
1438,118964
1439,230000
1440,239000
1441,127500
1442,270000
1443,126500
1444,154000
1445,159500
1446,112000
1447,149000
1448,82000
1449,260000
1450,210000
1451,159500
1452,144000
1453,154300
1454,232000
1455,85000
1456,262500
1457,184100
1458,199900
